PN,No.,Gloss,PLa,CW-QY,C-WC,C-QS,C-LJ,C-LB,C-CJ,CE-YA,W-SZP,W- SLZ,W-DT,W-YL,E-DC,E-TS,E-HS,XZ,MD,Eka,YL,YL (old),PTB,Chinese,Frame,PB (Matisoff 2003),PN (Bradley 1979b),PLa initial,PLa rhyme,PLa tone
52,112,crow (a),a¹ŋja̠Hbɛ̠H,a⁵⁵ɲɛ̠³³ba̠³³,a⁵⁵ɲiɛ̠³³ba̠³³,ɑ⁵⁵ŋa̠³³ba̠³³,a⁵⁵ɲɛ̠³³ba̠³³,a⁵⁵niɛ̠³³ba̠³³,a⁵⁵ni̠³³ba³³,a⁵⁵ɲiɛ̠³³bɛ˞³³,a⁴⁴ɲi⁴⁴bɛ⁴⁴,a⁴⁴ɲa⁴⁴bɛ˞⁵⁵,a³³na˞³³bɛ³³,a⁴⁴ɲi⁴⁴ba⁴⁴,,a⁵⁵ɲa³³bɛ³³,a⁵⁵ŋɛ³³bɛ³³,a⁵⁵ɲa³³bɛ³³mu³³,,,,,,乌鸦,树上有三只__,,*akL/a³,ŋj,a̠,H
52,112,crow (b),a¹ne̠H,,,,,,,,,,,,,,,,a⁵⁵nɛ̠³³,a⁵⁵ni̠³³mo³³,a⁵⁵ni⁵³,a⁵⁵ni⁵³,,乌鸦,树上有三只__,,*akL/a³,n,e̠,H
,113,magpie,a¹tʃɛ̠ᶫ,a⁵⁵tʂa̠²¹,a⁵⁵tʂa̠²¹,ɑ⁵⁵tsa̠²¹,a⁵⁵tʂa̠²¹,a⁵⁵tʂa̠²¹,a⁵⁵tsa̠²¹,tsa²¹tsɿ⁵⁵ja³³,a⁴⁴tʂa⁵³,a⁴⁴tʂɛ˞⁵³,bɨ²¹tʂɛ⁴⁵³,a⁴⁴tʂa⁵³,a⁵⁵tsɛ⁴²,a⁵⁵tsɛ̠²¹,bia²¹tsɿ⁵⁵tsɿ⁵⁵,a³⁵tʂɛ˞̠³³,,kʰa⁵⁵tsa̠ʔ²¹,a⁵⁵tsɛ˞⁵³,a⁵⁵tsɛ˞⁵³,,喜鹊,树上有三只__,,,tʃ,ɛ̠,L
51,114,dove,a²pɨ¹mu²,a̤²¹pʉ⁵⁵,ɑ²¹pɨ⁵⁵mɨ²¹,ɑ²¹pɨ⁵⁵,a²¹pɨ⁵⁵mɨ²¹,ɑ²¹pɨ⁵⁵mɨ²¹,a²¹pɨ⁵⁵,a²¹pɨ⁵⁵,a²¹pɨ²⁴,a²¹pɨ²⁴,a²¹pɨ²⁴,a²¹pɨ²⁴,a²¹pə⁵⁵mə²¹,a²¹pə⁵⁵mə²¹,a²¹pɨ⁵⁵,a²¹pɨ̃ŋ⁴⁵²,a²¹pɨ⁵⁵,dɛ²¹pɨ²⁴muɛ³³jo³¹,a²¹pv̩³³,a²¹pv̩²⁴,,鸽,树上有三只__,m-krəw²,*k-ʔ-ko² & *k-m-ɡu²,p,ɨ,1
,115,pheasant,a¹ʃu²,a⁵⁵ʂə²¹,ɑ⁵⁵ʂv̩²¹,ɑ⁵⁵su²¹,ɑ⁵⁵ʂu²¹,ɑ⁵⁵ʂv̩²¹,ɑ⁵⁵su²¹,a⁵⁵sɿ²¹,a⁵⁵ʂv̩²¹,a⁵⁵ʂu²¹,a⁵⁵ʂv̩²¹,ɐ⁵⁵ʂu³³,sɤ̪²¹,a⁵⁵su²¹,a⁵⁵ʂɤ̪²¹,dy²¹ʂʅ²¹,a⁵⁵ji̠³³ka²¹,to³³xo²¹,to²¹so²¹,to²¹so²¹,,野鸟/野鸡,山上有三只__,rwakᶫ,,ʃ,u,2
49,116,eagle,a¹dzy¹,a⁵⁵dzy⁵⁵,a⁵⁵dʑy⁵⁵,ɑ⁵⁵dʑy⁵⁵,a⁵⁵dʑy⁵⁵,dʑy⁵⁵pa̠²¹la̠²¹,ɑ⁵⁵dʑy⁵⁵,a⁵⁵dzy³⁴,dʑy²⁴ma²¹nɛ³³,a²¹dʑy²⁴,a³³dʑy²²,ɐ³³dʑy³⁴,a⁵⁵dzə²⁴,a⁵⁵dʑy⁵⁵,a⁵⁵dʒɨ²⁴,a⁴⁵dzy³³pɑ³³mu³³,a⁵⁵dʒə⁵⁵,a²⁴dzə²⁴mo³³,tsə³³ma³³,dzə²⁴ma³³,,老鹰,树上有三只__,,*[k]-dzwan¹,dz,y,1
56,117,owl (a),gy³ly²,wu³³ly²¹,wu³³lu²¹,ɣɨ³³ly²¹,y³³ly²¹,jy³³ly²¹,wu³³ly²¹,wu³³lu²¹,lv̩²¹ʝi⁴⁴,,,y³³ly²¹,ə³³lə²¹,ku⁵⁵lu²¹,wu³³li²¹,ø³³mɤ̪˞²¹,a³³ŋa³³lo²¹pɑ̠²¹,gao²¹,,,,猫头鹰,树上有三只__,,,g,y,3
59,118,bat,a¹py̠H,mai³³ma²¹ha³³,a⁵⁵py̠³³,mɑ³³mu²¹hɑ³³,a⁵⁵py³³,a⁵⁵pø̠³³,a⁵⁵py³³,,a⁴⁴py⁴⁴,a²¹pi⁵³,by²⁴hɛ⁴⁴,a⁴⁴py⁴⁴,pə⁵⁵pə³³,pɔ⁵⁵pu̠³³,a⁵⁵pɨ³³,ko⁵⁵pø̠³³,a⁵⁵pɑ̠³³,a³³pʷɨʲ⁵⁵jo³¹,jiɛ³³tʰiɛ˞³³,jiɛ²⁴tʰiɛ³³,,蝙蝠,树上有三只__,ba:k,*bo¹ no/na³/²,p,y̠,H
66,119,frog,ʔmu¹pa̠ᶫ,ə⁵⁵pa̠²¹,m̩⁵⁵pa̠²¹,u⁵⁵pa̠²¹,ũ⁵⁵pa̠²¹,u⁵⁵pa̠²¹,u⁵⁵pa²¹,ə̃⁵⁵pɑ̠²¹,om²⁴pa⁵³,mu²⁴pa⁵³,kɛ⁴⁵lɛ³³,u⁴⁴pa⁵³,u⁵⁵pu⁴²,m̩⁵⁵pɔ̠²¹,ɤ̪⁵⁵pɔ̠²¹,m̩⁴⁵³po³³,u⁵⁵pɑ̠²¹,o²⁴pʷoʲ⁵⁵jo³¹,a⁴⁴pɛ˞⁴⁴lɤ̪⁴²,a⁴⁴pa⁴⁴la⁴²,,青蛙,地上有三只__,ʔ-ba²,*k-ʔ-pa²,ʔm,u,1
67,120,toad,ʔmu¹pa̠ᶫ,ə⁵⁵pa̠²¹dzaŋ⁵⁵pʰy³³,ha⁵⁵pʰy³³,u⁵⁵pa̠²¹lɑ²¹jɛ²¹,ũ⁵⁵pa̠²¹dza⁵⁵pʰy³³,,,kan²¹pa²¹sɿ³³,om²⁴pa⁵³lv̩⁴⁴tsɿ⁴⁴,mu²⁴pa⁵⁵pʰəŋ³³tsʰɿ²¹,m̩²⁴po⁵³,u⁴⁴pa⁵³lai²¹tɕɛn³³pao³³,nɛ³³dɛ³³sɛ³³u⁵⁵pu⁴²,m̩⁵⁵pɔ̠²¹lɔ³³gɛ²¹,fɛ̠²¹ɤ̪⁵⁵pɔ̠²¹,m̩⁴⁵³po³³,u⁵⁵pɑ̠²¹dzo⁵⁵jɛ²¹,o²⁴poʔ²¹ɕi⁵⁵ɕi³³,lai³³tui³³li³¹,,,癞蛤蟆,地上有三只__,,*ʔ-brut,p,a̠,L
70,121,fish,ʔŋa²,a̤ŋ²¹,ɑ̃²¹,ɑ̃²¹,aŋ²¹,ɑŋ²¹,ɑ²¹,a̤ŋ²¹,ãŋ²¹,ãŋ²¹,õ²¹,ã²¹,ɔ²¹,ɔ̃²¹,aɔ̃²¹,õ²¹,õm²¹pa⁵⁵,oŋ²¹pʰv̩²⁴,aŋ²¹,,,鱼,水里有三条__,,*ŋa²,ʔŋ,a,2
60,122,snake,la¹ʃɛ¹,la⁵⁵ɕɛ⁵⁵,lɑ³³ʂɛ⁵⁵,lɑ⁵⁵ɕɛ⁵⁵,la⁵⁵ʂa⁵⁵,la⁵⁵ʂɛ⁵⁵,lɑ⁴⁴ɕɛ⁵⁵,la³³sɛ⁵⁵,la²⁴ʂɛ⁴⁴,la³⁵ʂɛ˞³³,lo²⁴ʂɛ³³,lɐ²⁴ʂə⁴⁴,sɛ⁵⁵,lɔ²⁴sɛ⁵⁵,lɔ²⁴ʂɛ˞⁵⁵,lo³³ʂɛ˞⁴⁴,lo³³ɕɛ⁵⁵,lu³³ɕɛ²⁴,la³³sɛ˞³³,la²⁴sɛ˞³³,,蛇,地上有三条__,m-r-wəy¹,*m-rwe¹ & *laŋ¹,l,a,1
,123,lizard,,a̤³³mɛ̤³³lɛ²¹ɑ²²wo³³,liɛ̠²¹zu²¹,a³³mɛ³³li²¹wu⁵⁵,pa̠²¹zɿ⁵⁵,zɛ²¹mɛ²¹a³³siɛ̠³³gɨ⁵⁵,tʰo̠ŋ²¹li²¹tɕɛ³³,ba²¹bi²⁴za²¹,lu²⁴ba²¹,mɨ˞²¹ʂʅ³³li⁵⁵wu³³,le³³zu³³,mɛ²¹le⁵⁵ɣo³³,a⁵⁵mə²¹i⁵⁵mɔ²¹tɕʰi²¹,tʰɛ²¹lɛ²¹mɛ³³tɕi⁵⁵,tsʰaŋ²¹bi²¹di²⁴,a²¹mɛ˞²¹ʂɛ˞⁴⁴lɛi³³kv̩²⁴,ɛ̃²¹xã⁵⁵,tʰaŋ³³gi³³li⁵⁵pʰɛ²⁴mo³³,tɕʰyən²¹sɛ˞²¹,,,蜥蜴／壁虎,他家有三只__,,,,,
75,124,leech,ɣi¹ve̠ᶫ,ɣɨ⁵⁵vɛ̠²¹,ɣɨ⁵⁵viɛ̠²¹,ɣɨ⁵⁵vi̠²¹,ɣɨ⁵⁵væ̠²¹,ɣɨ⁵⁵viɛ̠²¹,ɑ⁵⁵n̩²¹ɣɨ⁵⁵vɛ̠²¹,ɣɨ²⁴vi̠²¹,ɣɨ²⁴ve⁵³,ɣɨ²⁴ve⁵³,ɣɨ²⁴bḛ⁵³,ɣɨ²⁴vɛ⁴⁵³,i²⁴vei⁴²,ɣɨ²⁴vi̠²¹,ɣɨ²⁴vi̠²¹,vv̩²⁴vɛi³³,ɣɨ⁵⁵vɛ̠²¹,ɣɨ²⁴vi̠ʔ²¹,ɣɨ³³pai⁵⁵,ɣɯ²⁴bei⁵⁵,,蚂蟥/水蛭,水里有三条__,watᶫ; k-r-watᶫ; m-li:t,*k-rwatL,v,e̠,L
79,125,spider,,a³³mai³³,ɑ²¹vu⁵⁵mɑ³³,ɑi²¹mɑ³³,ɑ³³wu⁵⁵laŋ⁵⁵tɕi³³,ɑ²¹wu⁵⁵lɑ²¹,ɑ²¹wo⁵⁵li²¹ɑŋ³³,a²¹ja²⁴ma³³,a²¹wu⁵⁵mi³³tɕi³³kʰə³³,a²¹ʐʅ²¹ma³³ka³³la³³,a²¹tsʰe⁴⁴,a²¹ɣo³³la⁴⁵³,ɲia³³mɔ³³bə²¹,ga²¹la²¹mu³³tɕa³³kʰɨ⁵⁵,na²¹mɔ³³,a³³kaŋ⁴⁴laŋ⁴⁴tɕi̠³³,bom²¹bɛ²¹lɛ²¹xɛ⁵⁵,bi²¹laʔ³³,xam³³pao²¹,xam³³bao²¹,,蜘蛛,树上有三只__,,*baŋ³ & m-ɡu¹/m-ɡa²,,,
71,126,insect (a),bo²,,,,,,,,,,,,bə²¹,,,,,,,,,昆虫,地上有三只__,bəw² di¹,*bi/bo²,b,o,2
71,126,insect (b),bi²di¹,bʉ̤²¹di⁵⁵,bɨ²¹di⁵⁵,di²¹bi⁵⁵,bɨ²¹di⁵⁵,bi̤²¹bi⁵⁵,dzɿ²¹di⁵⁵,bi²¹di²⁴,dzɿ²¹di²⁴,dzɿ²¹di²⁴,dzɿ²¹di²⁴,bi²¹di²⁴,,dzɿ²¹di²⁴,bi²¹di²⁴,dzɿ²¹dy²⁴,bi²¹di⁵⁵,pɨ³³tɕɛ³³lɛ³³,bi²¹bi³³,bi²¹bi²⁴,,昆虫,地上有三只__,bəw² di¹,*bi/bo²,b,i,2
73,127,ant,bo²ʒo̠H,,,,,,bo̠²¹zo̠³³,,,,,,,,,,bi²¹ɕi⁵⁵,bɨ²¹jo⁵³,bi²¹jao⁵³,,,蚂蚁,地上有三只__,"bəw-rwak, k-rwak",*p-rwakH,b,o,2
73,127,ant (b),a²ʒu²,a̤²¹ʐṳ²¹,ɑ²¹ʐu²¹,,,,,,,,,,,,,,,,,,,蚂蚁,地上有三只__,"bəw-rwak, k-rwak",*p-rwakH,ʒ,u,2
76,128,termite (a),a²ʒu²,,ɑ²¹ʐu²¹ʂɛ⁵⁵,,a²¹ʐu²¹,ɑ²¹ʐṳ²¹,bu²¹zu²¹,,,,,a³³ʐu²¹,,,,,,,,,,白蚁,地上有三只__,,*k-ru²,ʒ,u,2
,128,termite,a²ʒo̠Hpʰu¹,tʰu²¹bʉ²¹di⁵⁵,ɑ²¹ʐu²¹ʂɛ⁵⁵,ɑ²¹zo̠³³fv̩⁵⁵,,,,a²¹zo̠³³sɛ⁵⁵za²¹,a³³ʐu⁴⁴fv̩²⁴,a²¹ʐu³³se⁴⁴ve⁴⁴,a²¹ʐu³³pʰv̩²⁴,,a³³ju³³fɤ̪⁵⁵,tsɛ²¹dzɿ²¹,a²¹zɔ³³vi³³tʰɛ³³,a²¹ʐu³³pʰᶠv̩⁵⁵zo²¹,ɕi³³bi²¹di⁵⁵,ma²¹vai²¹bɨ²¹di²⁴,bi²¹ma⁵⁵pʰv̩³³,,,白蚁,地上有三只__,,*k-ru²,,,2
,129,mantis,a¹tʃʰi̠ᶫlo̠ᶫ,,vv̩⁵⁵lɑŋ²¹kɑŋ⁵⁵pɑ⁵⁵,pɨ⁵⁵tsɿ³³an⁵⁵tsɿ³³,fəŋ²¹fəŋ²¹ta⁵⁵ma³³y³³,ɑ²¹dʑi²¹lo̠²¹la²¹pa̠²¹,ɑ⁵⁵bɑ²¹lo̠³³m̩²¹bɑ³³,tan³³tan³³tɕʰio²¹,a³³tʂʰʅ⁴⁴lu⁵⁵a²¹pa²⁴ma³³,,a²¹ʐa²⁴lu⁵⁵,ŋ̪²¹di²¹ma³³a⁴⁴ʐu⁴⁴lo⁴⁵³,,ja²⁴lɔ̠²¹a²⁴pɔ⁵⁵mu²¹,,ja²⁴laŋ²¹mu³³,i⁵⁵sɛ⁵⁵mo³³ga²¹lɨ²¹ɣɨ²¹,nai²⁴mo³³,tsʰai⁵⁵dza³³pv̩³³,,,螳螂,地上有三只__,,,tʃʰ,i̠,L
81,130,roach,,pʉ⁵⁵tʂʅ̠²¹,dɛ²¹gɨ²¹ʐʅ²¹,dɛ²¹gɨ²¹zɿ²¹,dɛ²¹gɨ²¹ʐʅ²¹,pi⁵⁵lɑ³³,vi²¹lɑ³³,ta²¹kə²¹za²¹,lu⁵⁵tsu²¹dzɿ²¹,ʈa²¹kɛ˞³³ʐʅ²¹,bɨ²¹di²⁴,,ta³³kʰa³³za²¹,di²¹ka²⁴zɿ²¹,la²¹kɛ²¹tsɿ³³,lu³⁵tsu²¹dy²¹,me³³sæ⁵⁵la⁵⁵,dzo²⁴xa̠ʔ²¹mo³³,tsao⁴⁴m̩²¹tʂɛ˞³³,,,蟑螂,地上有三只__,ʔ-gripᶫ insect/bug,*ʔ-pi/ʔ-pya³,,,3
72,131,fly,ɣaŋ¹ʃɛ¹,ɣɨ⁵⁵ɕɛ⁵⁵,ɣɨ⁵⁵ʂɛ⁵⁵,ɣɨ⁵⁵ɕɛ⁵⁵,wu³³ʂa⁵⁵,wu⁵⁵ʂɛ⁵⁵,wu³³ɕɛ⁵⁵,ɣɨ²⁴sɛ⁵⁵,vu²⁴ʂɛ³³,ɣɨ²⁴ʂɛ˞³³,ɣɛ˞²⁴mɨ²¹,wu²⁴ʂə³³,ja²⁴mə²¹,ja²⁴m̩²¹,ɣɨ²⁴ʂɛ˞⁵⁵,ja²⁴mɨ˞²¹,i⁵⁵sɛ⁵⁵,ɣɨ²⁴suɛ⁵⁵jo³¹,ɲɛ˞³³m̩²¹,,,苍蝇,他家有三只__,,*C-brutL,ɣ,aŋ,1
77,132,honeybee,bja²,ba̤²¹,bɑ²¹,bɑ²¹,ba²¹,bɑ²¹,tsʰɑ²¹bɑ²¹,bɛ²¹,bɑ²¹,bɑ²¹,bo²¹,bɐ²¹,bia²¹,tsʰɔ²¹bɔ²¹,bia²¹,hĩ⁵⁵ba²¹,do⁵⁵ka³³bo²¹,bo²¹,ba²²ɲo²¹,,,蜜蜂,树上有三只__,,*bya²,bj,a,2
,133,wasp (a),bja²tu¹,ba̤²¹də⁵⁵,bɑ²¹dv̩⁵⁵,"xɑ²¹wu⁵⁵, xou²⁵",,va̠²¹bɑ²¹,bɑ²¹dv̩⁵⁵,sɿ⁵⁵sɛ⁵⁵,bɑ²¹tv̩²⁴,,,bɐ²¹tv̩⁴⁵,,bɔ²¹tɤ̪⁵⁵,tɕʰi²¹ʂɛ⁵⁵,,,dʑi³³dzo³³bo²¹,ba²²to³³sɛ˞³³,ba²²do²⁴sɛ˞³³,,黄蜂,树上有三只__,,,t,u,1
,133,wasp (b),bja²ʃɛ¹,,,,,,,,,bɑ²¹ʂɛ˞³³,bo²¹ʂɛ˞²⁴,,ɕi³³sɛ⁵⁵,,,ba²¹ʂɛ˞⁴⁵³zo²¹,bo²¹sɛ⁵⁵,dʑi³³dzo³³bo²¹,ba²²to³³sɛ˞³³,ba²²do²⁴sɛ˞³³,,黄蜂,树上有三只__,,,ʃ,ɛ,1
,134,mosquito,ɣaŋ¹bi̠ᶫ,ɣɨ⁵⁵ɕɛ⁵⁵n̩²¹dzɿ̠³³,ɣɨ⁵⁵ʂɛ⁵⁵tsɿ̠²¹,ɣɨ⁵⁵vɨn²¹tsɿ²¹,vv̩⁵⁵tsæ̠²¹,wu⁵⁵dziɛ̠²¹,wo⁵⁵pi²¹,ɣɨ²⁴sɛ⁵⁵dzɿ³³,vu²⁴dzɿ⁵³,ɣɨ²⁴n̩²¹dzɿ⁵³,ɣɛ˞²⁴mɨ²¹dzɿ⁵³,wu²⁴tɕy⁵³,ja²⁴sɛ³³,ja²⁴sɛ⁵⁵,ɣɨ²⁴ʂɛ˞⁵⁵dzɿ³³,ja³³ʂɛ˞⁵⁵,i⁵⁵sɛ⁵⁵kɛ⁵⁵kaŋ²¹,ɣɨ²⁴suɛ⁵⁵jo³¹,ɲɛ˞³³m̩²¹dzɿ⁵³,,,蚊子,他家有三只__,"ʔ-bikᶫ, ʔ-gripᶫ 'insect'",,ɣ,aŋ,1
,135,dragonfly,dʒɛ²m̩²kʰa³la³,dʑɛ̤ŋ²¹kʰa³³la³³,dʑɑm²¹pɑ²¹kʰɑ³³lɑ³³,dʐɑŋ²¹dʐɑŋ²¹kʰɑ³³lɑ³³,dʐɑŋ²¹kʰa³³la³³,ɑ²¹lɑ⁵⁵mu²¹,dʑɛ²¹m̩²¹dʑɛ²¹kʰa³³lo̠̠³³,o̠⁵⁵o̠⁵⁵tan³³tan³³,dʑɛ²¹m̩²¹pa³³kʰa³³la³³,,ɣɨ²⁴pe²¹tsɿ³¹,,dɔn²¹dɔn²¹kʰɛ³³lɛ³³,piɔ³³piɔ³³,dʐɛn²¹dʐɛn²¹tʰɛ⁵⁵lɛ³³,ɣɨ²⁴tʰɤ̪˞²¹ta³³kue⁴⁴lu⁴⁴,bi⁵⁵ɕi⁵⁵li⁵⁵,dza⁵⁵pa²¹tɕi³³li²⁴,,,,蜻蜓,树上有三只__,,,dʒ,ɛ,2
78,136,butterfly,bo²ʔlu³,vi̤²¹ʔlə³³,vi²¹lu³³,vi²¹lv̩³³,dʑi²¹lv̩³³,dʑi²¹lv̩³³,vi²¹lv̩³³,to̠̠²¹sɿ̠²¹bɛ²¹,dzɿ²¹lv̩³³,a²¹pi⁵³,dzɿ²¹lv̩˞³³,dzɿ²¹lv̩³³,kɔ⁵⁵lei³³,dzɿ²¹lə³³,bə²¹lɤ̪³³,ko⁵⁵no³³,a⁵⁵bɛ²¹fu³³,xi⁵⁵xo³³lo²⁴,kɛ˞⁵⁵lɛ˞⁵⁵pu²¹,kɛ˞³⁵lɛ˞⁵⁵bu²¹,,蝴蝶,树上有三只__,,*C-lu³,b,o,2
,137,cricket,bɨ¹tʃɛ̠ᶫ,bɤ̤²¹tʂʅ̠²¹,pɨ⁵⁵tʂʅ̠²¹,pɨ̠²¹tsɿ̠²¹,pɨ⁵⁵tʂʅ̠²¹,pɨ⁵⁵tʂʅ̠²¹,bɨ²¹tsɿ²¹,ba²¹tsɿ̠²¹,bɨ²⁴tʂɛ⁵³,bə²⁴tʂɛ˞⁵³,bɨ²¹tʂɛ˞⁵³,pɨ⁴⁴tʂʅ⁵³,bə³³tsɿ⁴²,bə³³tsɿ⁴²,a⁵⁵kʰɨ²¹ti⁵⁵li⁵⁵,bɨ²¹tsɿ³³sy⁵⁵ly⁵⁵,ɛ³³toŋ³³,pɨ³⁵tɕɛ²¹nio³¹,a⁵⁵kʰɨ⁴¹tsa²¹pɛ˞³³lo²¹,a⁵⁵kʰɯ⁴¹tsa²¹pa³³lo²¹,,蟋蟀,地上有三只__,,,b,ɨ,1
,138,grasshopper,tʃɛ¹pu¹,a⁵⁵pa̠²¹tʂə⁵⁵fv̩⁵⁵,pɛ⁵⁵tʂu⁵⁵,tɕɛ⁵⁵kv̩⁵⁵,a⁵⁵pa̠²¹tʂə⁵⁵fv̩⁵⁵,tʂɑ⁵⁵kv̩⁵⁵,tɕɛ⁵⁵fv̩⁵⁵,tsɿ⁵⁵xə⁵⁵,pɛ˞⁴⁴tʂu⁴⁴,pa³³tʂu³³,pɛ˞⁴⁴tʂu⁴⁴,dʐo²¹ku⁵³,tsa⁵⁵kɔ⁵⁵,tsɔ⁵⁵pu⁵⁵la³³mu³³,tsa⁵⁵kɤ̪⁵⁵,pu⁵⁵tʂu⁵⁵lu⁵³,tɕɛ⁵⁵pu⁵⁵,pɨ³³tɕɛ³³lɛ³³,tsa³³pu³³,,,蚱蜢,地上有三只__,,,tʃ,ɛ,1
,139,flea 'dog louse',kʰi²xe¹,kʰɨ²¹ɕi⁵⁵,kʰɨ²¹ɕi⁵⁵,kʰɨ²¹ɕi⁵⁵,kʰɨ²¹ɕi⁵⁵,kʰɨ²¹ɕi⁵⁵,kʰɨ²¹ɕi⁵⁵,kʰɨ²¹ɕi⁵⁵,kʰɨ²¹ɕi²⁴,kʰɨ²¹ɕi²⁴pɛ˞³³,kʰɨ²¹ɕi²⁴,kʰɨ²¹ɕi⁴⁴,kʰu²¹ɕi⁵⁵,kʰɨ²¹ɕi⁵⁵,kʰɨ²¹ɕi⁵⁵,kʰɨ²¹ɕi⁵³,ko²¹xɛ⁵⁵,a²⁴no³³ko²¹xi²⁴,kʰo²¹ɕi⁵⁵,,,跳蚤,地上有三只__,,,kʰ,i,2
74,140,louse (clothing),xe¹,ɕi⁵⁵,ɕi⁵⁵,ɕi⁵⁵,ɕi⁵⁵fv̩⁵⁵,ɕi⁵⁵,ɕi⁵⁵,ɕi⁵⁵,ɕi²⁴,ɕi²⁴fv̩³³,ɕi²⁴,ɕi⁴⁴,ɕi⁵⁵,ɕi⁵⁵,ɕi⁵⁵,ɕi⁵³,i⁵⁵pu⁵⁵,xi²⁴,ɕi⁵⁵ma³³pʰu³³,,,虱子(衣上),地上有三只__,san¹/²,*xan¹,x,e,1
,141,centipede,ʃa¹xe¹,ʂa⁵⁵ɕi⁵⁵,ʂɑ⁵⁵ɕi⁵⁵,sɑ⁵⁵ɕi⁵⁵,ʂa⁵⁵ɕi⁵⁵,mɑ⁵⁵ɕi⁵⁵,sɑ⁵⁵ɕi⁵⁵,mi²⁴ɕi⁵⁵,ʂa²⁴ɕi²⁴,ɕi⁴⁴ʂɛ˞³³,ʂɛ˞²⁴ɕi²⁴,mɨ⁴⁴ɕi⁴⁴,mi²⁴ɕi⁵⁵,sɛ⁵⁵ɕi⁵⁵,ʂɛ⁵⁵ɕi⁵⁵,ɕi⁵⁵ʂɛ˞ʔ⁵⁵,sa⁵⁵xɛn⁵⁵,mɛ⁵⁵dza²¹xa²⁴ni²⁴mo³³,,,,蜈蚣,地上有三只__,,,ʃ,a,1
80,142,earthworm,a¹di¹,ʂa⁵⁵kʰə³³bʉ̤²¹di⁵⁵ʔɲi⁵⁵,ĩ⁵⁵ɑ̃²¹,ɑ⁵⁵di⁵⁵li⁵⁵,ʂa⁵⁵kʰa³³bɨ²¹di⁵⁵,ʂa⁵⁵kʰa³³ji²¹bi²¹bi⁵⁵,ɑ⁵⁵di⁵⁵li⁵⁵,a⁵⁵li⁵⁵,ĩ²¹dzɿ²¹di²⁴,,ʝi³³o³³,an²¹tiao³³bi²¹di²⁴,a⁵⁵di²⁴,dzɿ²¹di²⁴ĩ⁵⁵,a⁵⁵di²¹li⁵⁵,a⁵⁵ɲa³³dzɿ²¹dy²⁴,a⁵⁵di⁵⁵,an²⁴ti³³ki³³li³³,bi²¹la³³kɛ˞⁵⁵,,,蚯蚓,地上有三条__,,*bu¹/² di¹,d,i,2
80,143,worm,bo²di¹,bʉ̤²¹di⁵⁵,bɑ²¹di⁵⁵,vi²¹,bɨ²¹di⁵⁵,bi²¹bi⁵⁵,dzɿ²¹di⁵⁵,bi²¹di²⁴,dzɿ²¹di²⁴,dzɿ²¹di²⁴,dzɿ²¹di²⁴,bi²¹di²⁴,bə²¹,dzɿ²¹di²⁴ĩ⁵⁵,,a⁵⁵ɲa³³dzɿ²¹dy²⁴,bi²¹di⁵⁵,bɨ²¹tɕi²⁴tɕi²⁴,bi²¹bi³³,,,虫,地上有三只__,,*bu¹/² di¹,b,o,2
,144,caterpillar,,bʉ̤²¹di⁵⁵ʔna³³,bɑ²¹di⁵⁵tɕʰy⁵⁵bi²¹,di²¹bi⁵⁵dzɿ̠³³,bɨ²¹di⁵⁵tɕʰy⁵⁵bi²¹,zɿ̠²¹biɛ̠²¹,dzɿ²¹di⁵⁵a⁵⁵n̩²¹tɕʰy⁵⁵bi²¹,bi²¹di²⁴n̩²¹dzɿ³³,dzɿ²¹di²⁴ni⁴⁴tɕʰy³³be³³,dzɿ²¹di²⁴tɕʰy³³ba⁴⁴be²¹,dzɿ²¹di²⁴ʂu³³bo⁴⁴be²¹,bi²¹di²⁴na³³tsʰɛ⁴⁴bɛ²¹,bə²¹ni²⁴tsɿ⁵⁵,dzɿ²¹di²⁴n̩⁵⁵tɕʰy⁵⁵bi²¹,pʰi²¹tɛ²¹n̩⁵⁵tsɿ⁵⁵,dzɿ²¹dy²⁴tsʰɛ˞⁵⁵po³³,bi²¹di⁵⁵tsʰɿ⁵⁵ɣɨ⁵⁵,bɨ²¹tɕi²⁴tɕi²⁴,bi²¹sɿ²¹pa⁵³,,,毛虫,地上有三条__,,,,,1
,145,maggot,ho̠H,vi̤²¹,ho³³,ho³³,ho³³,ho̠³³,"vi²¹, ho̠³³",ho̠³³,hõ⁴⁴,hõ³³,ho³³,hõ³³,fɤ̪³³,hɔ³³,hɔ³³,hõ˞³³,xo³³jo²¹,xuʲ⁵³jo³¹,ho⁵³,,,蛆/蛆虫,地上有三条__,,,h,o̠,H
,146,nest (a),kʰi¹,kʰɨ⁵⁵,kʰɨ⁵⁵,kʰɛ⁵⁵ty⁵⁵,kʰɨ⁵⁵ty⁵⁵,kʰɨ⁵⁵,kʰɨ⁵⁵ty⁵⁵,kʰɨ⁵⁵ty⁵⁵,kʰɨ²⁴,ty²⁴,"ty²⁴, kʰɨ²⁴",kʰɨ⁴⁴,nia³³tɕʰi⁵⁵,kʰɨ⁵⁵,kʰɨ⁵⁵tɨ⁵⁵,by²⁴,jɛ²¹kʰɨ⁵⁵,kʰi²⁴,tə³³tə³³,,,窝 (鸟窝),树上有三个__,kʷəy¹,,kʰ,i,1
