ID	Parameter	English	Chinese	Pinyin	Pla	CW-QY	W-SZP	E-DC	XZ	MD	Eka	YL
329	114.0	dove; pigeon	鸽	gē	a²pɨ¹mu²	a̤²¹pʉ⁵⁵	a²¹pɨ²⁴	a²¹pə⁵⁵mə²¹	a²¹pɨ̃ŋ⁴⁵²	a²¹pɨ⁵⁵	dɛ²¹pɨ²⁴muɛ³³jo³¹	a²¹pv̩³³
330	119.1	frog	青蛙	wā	ʔmu¹pa̠ᶫ	ə⁵⁵pa̠²¹	om²⁴pa⁵³	u⁵⁵pu⁴²	m̩⁴⁵³po³³	u⁵⁵pɑ̠²¹	o²⁴pʷoʲ⁴²jo³¹	a⁴⁴pɛ˞⁴⁴lɤ̪⁴²
331	119.0	frog	青蛙	wā	ʔmu¹pa̠ᶫ	ə⁵⁵pa̠²¹	om²⁴pa⁵³	u⁵⁵pu⁴²	m̩⁴⁵³po³³	u⁵⁵pɑ̠²¹	o²⁴pʷoʲ⁵⁵jo³¹	a⁴⁴pɛ˞⁴⁴lɤ̪⁴²
332	428.0	tea	茶 （茶水）	chá	la²	la̤²¹ɣɨ⁵⁵	la²¹pʰɛ⁵³	lɔ²¹ʝi²⁴	sɿ³³pʰɛi³³	la²¹pʰo²¹	la²¹	la²¹ɣɨ³³
333	701.0	come up	上来	shànglái	de̠Hla¹	dɛ̠³³la⁵⁵	de⁴⁴la³³	dei³³a³³	dɛi³³la³⁴	dɛ³³lɛ⁵⁵	di²⁴a³³	di⁵⁵la³³
334	700.0	come	来	lái	la¹	la⁵⁵,li⁵⁵	la²⁴	la²⁴	la²⁴	lɛ⁵⁵	la²⁴	la³³
335	247.0	hand/arm	手·胳臂	shǒu	le̠ᶫ	lɛ̠²¹pʰɛ̠³³	la⁴⁴pʰe⁴⁴	lei⁴²pʰei³³	lɛi³³vv̩˞²¹	lɛ²¹pʰɛ³³	la̠²¹pʰe³³poʔ²¹	lei⁴⁴pʰei⁵³
336	247.1	hand/arm	手·胳臂	shǒu	le̠ᶫpʰe̠H	lɛ̠²¹pʰɛ̠³³	la⁴⁴pʰe⁴⁴	lei⁴²pʰei³³		lɛ²¹pʰɛ³³	la̠²¹pʰe³³poʔ²¹	lei⁴⁴pʰei⁵³
337	21.0	river (a)	河	hé	ɣi¹dzaŋ²				ɣɨ³⁵dʐa²¹	ɣɨ⁵⁵dza²¹	ɣɨ²⁴mo³³	ɣɨ⁵⁵xo³¹
338	21.1	river (b)	河	hé	laŋ¹dzaŋ²			la²⁴dza²¹				
339	21.2	river (c)	河	hé	tʰi¹ba²ɣi¹		tʰi⁵⁵ba²¹ɣɨ²⁴					
340	910.0	LIGHT	轻	qīng	laŋ¹	lu⁴⁵	lu²⁴	la²⁴	la²⁴	la⁵⁵	la²⁴	lu³³
341	7.0	wind	风	fēng	a¹mo²ʔxy¹	a⁵⁵n̩²¹ɕy⁵⁵	n̩²¹ɕi²⁴	mə²¹ɕi⁵⁵	a³⁵mv̩⁴¹hĩ²⁴	a⁵⁵mi²¹fi⁵⁵	a²⁴xi²⁴	mi²¹he³³
342	499.0	bow	弓	gōng	ta̠ᶫnɛ³	ta²¹na³³	ta²¹nɛ²⁴	tɛ⁴²nɛ³³	tɛ˞³³nɛ˞³³	ta²¹na̠³³	tsa̠²¹na̠²²	tɛ˞⁵⁵no³³
343	499.1	bow	弓	gōng	ta̠ᶫnɛ³	ta²¹na³³	ta²¹nɛ²⁴	tɛ⁴²nɛ³³	tɛ˞³³nɛ˞³³		tsa̠²¹na̠²¹	tɛ˞⁵⁵no³³
344	704.0	go up	上去	shàngqù	de̠He¹	dɛ̠³³li³³	de⁴⁴ʝi³³	dei³³ji³³	dɛi³³ʝi³⁴		di³³lɛ³³	di⁵⁵li³³
345	702.0	come down	下来	xiàlái	ze̠ᶫla¹	zɛ̠²¹ʐʅ³³	ze⁵⁵la³³	zei⁴²a³³	zɛi³³la³⁴	jɛ²¹lɛ⁵⁵	ji²¹a³³	zai⁵⁵la³³
346	243.0	neck	脖子	bózi	li¹kaŋ²tsi³	ʐʅ⁵⁵tsɿ³³	lɛ²⁴tsɿ³³	li²⁴ku⁴²dzɿ³³	li²⁴ka³³tsɿ³³, li²⁴tɕi³³	lɨ⁵⁵bɨ⁵⁵	lɨʲ⁵⁵jo³¹	jĩ³³pu²¹
347	895.0	enough	足够	zúgòu	lo̠ᶫ	lo̠²¹	lu⁵³	lu⁴²	lu̠³³	lo̠²¹	lu̠²¹	lo⁵⁵la²¹
348	504.0	gong	铜锣	tóngluó				tʰɔ⁵⁵lɔ⁵⁵	tʰɛ˞⁴⁵lɛ˞⁵³	jaŋ⁵⁵	zaŋ⁵³	mɑŋ³³
349	273.0	breast	乳房	rǔfáng	a¹tʃɨ̠Hbe̠H	a⁵⁵tʂʅ̠³³bɛ̠³³	i⁴⁴tʂʅ⁴⁴bɛ⁴⁴	a⁵⁵tsɿ³³bei³³	a⁵⁵tʂʅ³³bɛi³³	a⁵⁵tʃɿ³³	o²⁴tɕi³³ɕɛ²¹	a⁵⁵tsɿ⁵⁵bi⁴⁵³
350	273.1	breast	乳房	rǔfáng	a¹tʃɨ̠Hbe̠H	a⁵⁵tʂʅ̠³³bɛ̠³³	i⁴⁴tʂʅ⁴⁴bɛ⁴⁴	a⁵⁵tsɿ³³bei³³	a⁴⁴tʂʅ⁴⁴bɛi⁴⁴		o²⁴tɕi³³ɕɛ²¹	a⁵⁵tsɿ⁵⁵bi⁴⁵³
351	850.0	warm	暖和	nuǎnhuó	ly¹	ly⁵⁵	ly²⁴	lə²⁴	ly²⁴	lə⁵⁵	lə²⁴	lue³³mən²¹
352	999.0	not (NEG)	不 (他不来)	bù	ma²	ma̤²¹	ma²¹	ma²¹	a²¹	ma²¹	ma²¹	m̩²¹
353	960.0	that (lower)	那 (下位)				na⁴⁴ma³³	tɕy⁵⁵mɔ³³	na⁴⁵³ja³³	kʰɨ⁵⁵	gɛ³³mo²⁴	nə³³ja⁵³
354		blessing	祝福	zhùfú				tʃɯ⁵⁵				
355	832.0	old (person)	老 (老人)	lǎo	maŋ²	mṳ²¹	mu²¹	ma²¹	ma²¹	mɑ²¹	ma²¹	mu²¹
356	330.0	doctor	医生	yīshēng		ji³³sən³³	ji³³səŋ³³	ju³³sɛ²⁴	no²⁴ĩ⁵⁵sɨ⁵³	no⁵⁵ku³³su⁵⁵	na³³tɕʰi²¹ɕi⁵⁵po̠ʔ²¹	na³³ko³³su³³
357	857.0	delicious	好吃	hǎochī	me¹	mi⁵⁵	dza²¹me²⁴	dzɔ²¹mi²⁴	dzo²¹mɤ̪˞⁴⁵³	mi⁵⁵	mi²⁴la³³	dza²¹mi³³
358	964.0	on the other side	对面				wu³³tɕy³³	tei²¹ku²¹bɔ²¹	tɛi³³ku³³	næ⁵⁵xɛ²¹	tʰi²¹bʲa⁵³	tai⁵⁵ku²¹lai²¹
359	819.0	bright; light	亮 (房子很亮)	liàng	ba³	ba³³	ba³³	bɔ³³	liaŋ⁴⁵³	maŋ³³	bo³³	liaŋ⁵³
360	388.0	room	房间	fángjiān	he¹kɛ³	hi⁵⁵ka³³	py²⁴ta³³kɛ⁴⁴	xei⁵⁵tsɿ²¹kɛ³³		xɛ⁵⁵na³³	xĩŋ²⁴ku³³nəŋ⁵³	pɛ˞⁵⁵ta³³
361	298.0	pus	脓	nóng	bi¹	vi⁵⁵	dzɿ²⁴	bi²⁴	dzɿ²⁴	bi⁵⁵ɣɨ⁵⁵	bi²⁴ɣɨ²⁴	bi³³
362	823.0	full	满	mǎn	bi³	vi³³	bi³³	bi³³	dzɿ³³	bɨ³³	bi³³, bi³³o³³	bi³³
363	757.0	rot (fruit)	腐烂	fǔlàn	pʰɨ²	pʰʉ̤²¹	pʰɨ²¹	tsʰɿ²¹xa²¹		tsʰɿ²¹	tsʰɿ²¹	mai⁵³
364	761.0	write	写	xiě	ʔvɛ̠H	ʔva̠³³	vɛ˞⁴⁴	vɛ³³	ɣɛ³³	boʔ³³	bu̠³³	vɛ˞⁵³
365	862.0	rotten	腐烂的	fǔlàn	pʰɨ²	pʰʉ̤²¹	pʰɨ²¹	tsʰɿ²¹xa²¹	pʰɨ²¹	tsʰɿ²¹, tɕʰi²¹	tsʰɿ²¹ga⁵⁵ŋo³³	la⁵⁵xɛ⁵⁵ja³³
366	983.0	now	现在	xiànzài	tʃu¹tʰa¹	tʂʅ⁵⁵pʉ⁵⁵	tʂʅ⁵⁵tʰa⁴⁴	tsɿ⁵⁵kə³³	tʂʅ³³ʂʅ²¹	a²¹mɛ³³sɛ⁵⁵	tsʰa³³mo³³	a⁵⁵tɕʰi³³
367	879.0	lazy	懒	lǎn	ʃa²ma²dɛ̠ᶫ	ʂa̠²¹ma̠²¹dɛ̠²¹	ʂa²¹ma²¹dɛ⁵³	bɛ³³jɔ³³	mɤ̪˞²⁴ma²¹dɛi³³	ba⁵⁵	ba²⁴	bɛ˞³³za²¹
368	591.0	chop (down)	砍 (砍树)	kǎn	kʰe̠H	kʰɛ̠³³	kʰai⁴⁴	kʰei³³,tsʰɿ⁵⁵	kʰai³³	da̠³³	da̠ʔ³³	kʰɛi⁵³
369	217.0	fern	蕨草	juécǎo	da¹vaŋ²	da⁵⁵	da²⁴vv̩²¹	dɔ²⁴ɣə²¹, dɔ²⁴wu²¹		da⁵⁵wo²¹	do²⁴va²¹	da³³gɨ³³
370	217.1	fern	蕨草	juécǎo	da¹vaŋ²		da²⁴vv̩²¹			da⁵⁵wo²¹	do²⁴va²¹	
371	217.2	fern	蕨草	juécǎo	da¹kʰy¹				dy²⁴ly³³kue⁵⁵			da³³gɨ³³
372	1001.0	each other	互相	hùxiāng			tʂɛ⁴⁴tʂʅ⁴⁴ma³³	dzɿ²⁴dzɿ²⁴da³³	ta²¹xo²¹	tɕʰi²¹gɨ⁵⁵	tʰi²¹bʲa⁵³	dzə³³dzə³³lai²¹
373	524.0	drink	喝	hē	daŋ¹	du⁵⁵	du²⁴	da²⁴	da²⁴	da⁵⁵	da²⁴	da³³
374	686.0	think	思考	xiǎng	di²	di̤²¹	di²¹ĩ⁴⁴	dzue²¹	di²¹	dɨ²¹	dɨ²¹ʔi²⁴	mɨ³³
375	686.1	think	思考	xiǎng	ga²							ga²¹
376	998.0	really; certainly	一定 (我一定去)	yīdìng		da⁵⁵ma̤²¹da⁵⁵	hã³³tsɛ³³	ŋa²⁴tsɿ⁵⁵	i²¹tĩ⁴⁵³	jɛ²¹tɛ²¹	ka⁵⁵tɛ̠²¹	da⁵⁵n̩²¹da³³
377	218.0	yeast	酵母	jiàomǔ	dy²	dy²¹	dy²¹	də²¹	dy²¹pa³³	də²¹	dɨ²¹	də²¹
378	386.0	post; pillar	柱子(大)	zhùzi		zɿ³³kʰə⁵⁵dzɿ³³	vɛ³³dzɿ²¹	tsə⁵⁵	zɿ²⁴mo³³	tɕi⁵⁵kʰu⁵⁵	ɕi³³kʰu²⁴	tso²¹zɿ³³
379	363.0	sis' child (Mvpt)	外甥/外甥女	wàishēng	ʃa̠ᶫ	sa̠²¹		su⁴²dɤ̪²⁴				
380	585.1	dig (a hole)	挖 (挖洞)	wā	ku²	kə̤²¹	kv̩²¹					
381	585.0	dig (a hole)	挖 (挖洞)	wā	kɛ̠ᶫ		kɛ⁵³	kɛ⁴²	kɛ˞³³	ka̰ʔ²¹	ka̠ʔ²¹	kɛ˞⁵³
382	619.0	wear (upper clothes)	穿(上衣)		vi̠ᶫ	jɛ̠²¹		vei⁴²	ʝiɛ̠ʔ³³, ʝi³³	vɛ̠²¹	vi̠ʔ²¹	vai⁵³
383	356.1	wife	妻子	qīzi	mɛ²ʔny¹	ma̠²¹ʔny⁵⁵	mɑ²¹ny²⁴	tɕʰi²¹mɔ³³	mɛ˞²¹ny⁴⁵³		ni²⁴	mɛ˞²¹nə³³
384	607.0	hunt; go hunting	打猎	dāliè	kaŋ²dzi²de²	ko²¹dʑi²¹dɛ²¹	ko²¹dʑi²¹dɛ²¹	ja³³ka⁴²dɛ²¹	ka²¹dʑi²¹bɛ˞³³	tʃʰɿ⁵⁵tʃu²¹	ɛ³³ka̠ʔ²¹bai²⁴	ga⁵³
385	565.0	pull a	拉		xi³	tɕi³³		tɕɛ³³	ɕi³³			
386	565.1	pull b	拉	lā	gaŋ¹	wo⁵⁵	ɣo²⁴		ga²⁴	ga⁵⁵	ga²⁴	gu³³
387	836.0	fast	快 (走得快)	kuài	ʔmjy̠H	tsʰa̤²¹	my⁴⁴	ji²⁴dʑə²¹		mɛ̠³³	pʰai⁵³	məŋ⁵³
388	656.0	play	玩	wánshuǎ	ga³	ɦa³³	ɣa³³	ka³³ɔ³³	pi⁴⁵³gu³³	go³³	go³³	gei²¹ke³³
389	418.0	mat	(垫)席	(diàn)xí	gɨ¹pʰu²	gɨ⁵⁵fv̩²¹	gɨ²⁴fv̩²¹	gə²⁴fɤ̪̠̪⁴²	bo²⁴fv̩˞²¹	sa³³fu²¹	kʰa³³ta̠ʔ²¹za³³	pɛ˞³³fv̩²¹
390	418.1	mat	(垫)席	(diàn)xí	gɨ¹pʰu²	gɨ⁵⁵fv̩²¹	gɨ²⁴fv̩²¹	gə²⁴fɤ̪̠̪⁴²	bo²⁴fv̩˞²¹		kʰa³³ta̠ʔ²¹za³³	pɛ˞³³fv̩²¹
391	997.0	again	再 (明天再来)	zài		tse⁴⁵	tse¹³	tsei²⁴	tsai⁴⁴	kɛ⁵⁵	to²⁴	da²¹
392	417.1	pillow	枕头	zhěntóu	nu²ka̠ᶫdu¹	ŋ̩²¹ka̠²¹də⁵⁵	ŋ̩²¹ka⁵⁵dv̩³³	zɿ²¹ka²¹dɤ̪²⁴	ŋ̩²¹ka³³dv˞̩²⁴	i²¹kʰa²¹du⁵⁵	na³³kʰa̠²¹du³³mu²⁴	m̩²¹ka⁵⁵dɤ̪³³
393	417.0	pillow	枕头	zhěntóu	nu²ka̠ᶫdu¹	ŋ̩²¹ka̠²¹də⁵⁵	ŋ̩²¹ka⁵⁵dv̩³³	zɿ²¹ka²¹dɤ̪²⁴	ŋ̩²¹ka³³dv˞̩²⁴	i²¹kʰa²¹du⁵⁵	na³³kʰa̠²¹du³³mu²⁴	m̩²¹ka⁵⁵dɤ̪³³
394	594.1	stab	刺	cì	tʰe̠ᶫ		tʰe⁵³			tɛ²¹		
395	594.0	stab	刺	cì	dʒe̠ᶫ			dzɿ⁴²			dʑi̠²¹	
396	594.1	stab	刺	cì	gu̠ᶫ	gə̠²¹	gv̩⁵³		gɤ̪˞³³	gɨ³³		
397	583.0	labor; work	劳动	láodòng	mja²ni²ʔmu¹	lo̠²¹mʉ⁵⁵	ma²¹ni²¹mv̩⁴⁴	mei²¹li²¹mɤ̪⁵⁵	ma²¹ɲi²¹mɤ̪⁴⁵³	lo²¹mu⁵⁵	mɨ³³dʑɛ²¹	ma²¹ni²¹m̩⁴⁴
398	658.0	sing	唱（歌）	chànggē	ga³	ɕɛ⁵⁵	mu⁴⁴, ɣa³³	gɔ³³kʰei³³	go³³	go³³mu⁵⁵	gi²¹	ga³³
399	356.0	wife	妻子	qīzi	mɛ²ʔny¹	ma̠²¹ʔny⁵⁵	mɑ²¹ny²⁴	tɕʰi²¹mɔ³³	mɛ˞²¹ny⁴⁵³	n̩²¹nə⁵⁵	ni²⁴	mɛ˞²¹nə³³
400	111.0	sparrow	麻雀	máquè	dʒa¹mu²	dʑɛ⁵⁵n̩²¹	dʐa˞²⁴mv̩²¹	dza²⁴ma²¹	kʰɨ²¹dʐa²⁴mɨ˞̩²¹	a³³ŋa³³dʒo⁵⁵ka³³la²¹	dzoŋ²⁴ka⁵⁵jo³¹	mi³³kə³³tɛ˞⁵³
401	111.1	sparrow	麻雀	máquè	dʒa¹mu²	dʑɛ⁵⁵n̩²¹	dʐa˞²⁴mv̩²¹	dza²⁴ma²¹	kʰɨ²¹dʐa²⁴mɨ˞̩²¹	a³³ŋa³³dʒo⁵⁵ka³³la²¹	dzoŋ²⁴ka⁵⁵jo³¹	mi³³kə³³tɛ˞⁵³
402	196.0	root	根	gēn	kji³	tɕi³³	tɕi³³	ja³³tɕi³³	sɿ³⁵³tɕi³³	jɛ²¹kɛ³³	ɛ²¹kiŋ³³	kən³³tɕi³³
403	297.0	urine	尿	niàoshuǐ	zi²	zɿ²¹	zɿ²¹	zɿ²¹	zɿ³³	n̩²¹ɕi⁵⁵	tɕi²⁴xə²¹ɣɨ²⁴	zɿ²¹
404	696.0	walk	走	zǒu	sy²	sy̤²¹	ɕy²¹	gɛ²¹	gɛ˞²¹	jɛ³³	xa²⁴	
405	510.0	bell	铃	líng		tɕi⁵⁵sɛ⁵⁵nə⁵⁵	pi⁴⁴tʂu⁴⁴	wɛ⁵⁵lɛ⁵⁵	ʂɛ˞⁴⁵nɛ˞⁵³	xɛŋ⁵⁵	a²⁴tsu³³lu³³	xə³³lə³³lə³³
406	776.0	stir	搅拌	jiǎobàn	gɛ̠H	ga̠³³	gɛ⁴⁴	ɣɛ³³	gɛ˞³³	ɣa³³	ga̠³³	
407	776.1	stir	搅拌	jiǎobàn	baŋ²							ba²¹
408	794.0	scratch	挠/搔	náo/sāo	ku²			kɤ̪²¹				
409	794.1	scratch	挠/搔	náo/sāo	kje̠H	tɕɛ̠³³	tɕi⁴⁴		tɕiɛ̠³³	kɛ³³	kʰi³³	
410	797.0	butt	(用头)碰撞	pèngzhuàng	tʰu³	tʰu³³	tʰv̩³³	tuɛ³³dzɿ²⁴	kʰao³³hĩ³³	tɛ²¹	tʰɨ⁵⁵xɛ³³	naŋ⁵⁵a³³, gɨ⁵⁵
411	613.0	mill (grinding)	磨 (磨米)	mò	gaŋ³	wu³³	wu³³	ga²⁴				gu³³
412	355.0	husband	丈夫	zhàngfū	dʒɛ¹	ŋ̩²¹dʑɛ⁴⁵	n̩²¹dʐɛ²⁴	n̩²¹sɿ⁵⁵pʰɔ²¹	n̩³⁵dʐɛ˞³⁴	n̩²¹dʑɛ⁵⁵	ŋ̩²¹dʑɛ²⁴	m̩²¹dzɛ³³
413	528.0	lick	舔	tiǎn	lɛ̠ᶫ	la̠²¹	lɛ⁵³	lɛ⁴²	lɛ˞³³	la̠²¹	la̠ʔ²¹	liɛ˞⁵³
414	6.0	cloud	云	yún	a¹mo²ti¹	a⁵⁵n̩²¹ti⁵⁵	ti²⁴	ti⁵⁵tɕʰi³³	di⁵⁵dɛ˞³³	mi⁵⁵kɨ²¹	mə²⁴	mi⁵⁵kʰɔ̪³¹
415	1.0	sky-1	天 (天空)	tiān	mo²di²ma³	n̩²¹di²¹ma³³	n̩²¹dɛ²¹	mə²¹		i⁵⁵sɛ⁵⁵mo³³	a³³mi²⁴mo³³	ŋ̩²¹kɤ̪²¹
416	1.1	sky-2a	天 (天空)	tiān	mo²di²ma³	n̩²¹di²¹ma³³	n̩²¹dɛ²¹	mə²¹		i⁵⁵sɛ⁵⁵mo³³	a³³mi²⁴mo³³	ŋ̩²¹kɤ̪²¹
417	1.2	sky-2b	天 (天空)	tiān	mo²daŋ¹				n̩²¹da²¹mo³³			
418	2.0	sun-2	太阳	tàiyáng	a¹mo²ɣi¹	a⁵⁵ŋ̪²¹ɣ̩ɨ⁵⁵ma³³	n̩²¹tsʰa²⁴	a⁵⁵mə²¹ji²⁴mɔ³³	a³⁵mv̩⁴¹hĩ⁴⁴mo³³	a⁵⁵mi⁵⁵	a³³mi²⁴	a⁵⁵m̩²¹tsʰa³³
419	2.1	sun-3	太阳	tàiyáng	a¹mo²ɣi¹	a⁵⁵ŋ̪²¹ɣ̩ɨ⁵⁵ma³³	n̩²¹tsʰa²⁴	a⁵⁵mə²¹ji²⁴mɔ³³			a³³mi²⁴	a⁵⁵m̩²¹tsʰa³³
420	993.0	quickly	快快 (快快走)	kuàikuài	ʔmjy̠H	xa⁵⁵tsʰa²¹kʰɛ⁵⁵	my⁴⁴my⁴⁴	la²⁴pɛ³³	gɨ³³ɕi²¹	mɛ⁵⁵mɛ⁵⁵	pʰai⁵⁵la⁵³	tiɛ˞³³məŋ⁵³
421	76.0	horse	马	mǎ	a¹mju²	tʃa̠ŋ²¹	a⁴⁴mu²¹	mɤ̪²¹	a³⁵mɤ̪˞̪²¹	a⁵⁵mu²¹	a²⁴mə²¹	a⁵⁵mu²¹
422	517.0	see	看见	kànjiàn	mjaŋ¹	mu⁵⁵	mu²⁴	mia²⁴	ma²⁴	i⁵⁵ma⁵⁵	i²⁴ma²⁴	va⁵⁵m̩³³
423	122.0	snake	蛇	shé	la¹ʃɛ¹	la⁵⁵ɕɛ⁵⁵	la²⁴ʂɛ⁴⁴	sɛ⁵⁵	lo³³ʂɛ˞⁴⁴	lo³³ɕɛ⁵⁵	lu³³ɕɛ²⁴	la³³sɛ˞³³
424	122.1	snake	蛇	shé	la¹ʃɛ¹	la⁵⁵ɕɛ⁵⁵	la²⁴ʂɛ⁴⁴	sɛ⁵⁵	lo³³ʂɛ˞⁴⁴	lo³³ɕɛ⁵⁵	lu³³ɕɛ²⁴	la³³sɛ˞³³
425	672.0	hit; beat	打 (打人)	dārén	dɛ²	dɛ̤²¹	dɛ˞²¹	dɛ²¹	dɛ˞²¹	dɛ²¹	dɛ²¹	dai²¹
426	335.0	widow	寡妇	guǎfù	mɛ²tʃʰu²ma³	lɛ̠³³ma³³	za²¹tʂʰʅ²¹ma³³	mɛ²¹tsʰɿ²¹mɔ³³	mɛ˞²¹tʂʰʅ²¹	mɛ²¹tʃʰu²¹mo³³	mɛ³³tsʰɿ²¹mo³³	mɛ˞²¹tsʰɿ²¹ma³³
427	530.0	swallow	咽	yān	gjo¹	ɦø⁵⁵				gɨ⁵⁵	gə²⁴tɕi³³li³³	gɨ³³
428	530.1	swallow	咽	yān	naŋ³		nv̩³³	na³³	naŋ³³			
429	95.0	monkey	猴子	hóuzi	mjo̠ᶫ	a⁵⁵mo̠²¹	a³³mu⁵³	a⁵⁵miu⁴²	a³³mv̩³³zo²¹	a⁵⁵mu̠²¹	a²⁴mu̠³¹	a³³mo⁵³
430	597.0	raise animals	饲养	sìyǎng	hu¹	hə⁵⁵	ʂu³³	fɤ̪⁵⁵kɛ³³	ʂu⁵⁵	xu⁵⁵	fv̩²⁴ta³³	su³³
431	13.1	water (b)	水	shuǐ	gje̠H					ŋ̩³³gɛ̠³³	ŋ²⁴ɡi³³	
432	545.0	grasp; grip	握(握刀把)	wò		tsa³³tɕɛ²¹	ti⁴⁴	tsu³³tsɛ²¹	ti̠⁴⁴	sɿ²¹	nɛ̠ʔ²¹	vv̩³³
433	947.0	2S	你	nǐ	ni¹	ŋ̩⁵⁵	ĩ⁵³	ni⁵⁵	ɲi⁴⁵³	ni⁵⁵	ni²⁴	ni³³
434	948.0	2PL	你们	nǐmén	ɲa²		n̩⁴⁴tsa³³				ni⁵⁵so³³	ɲa²¹
435	948.1	2PL	你们	nǐmén	ni¹tsa³	n̩³³tsa³³	n̩⁴⁴tsa³³	ni³³tsɔ³³		ni⁵⁵xɨ³³	ni⁵⁵so³³	
436	903.0	FEW	少	shǎo	ne²	ʔni̤²¹	hẽ⁴⁴ma²¹tʂʰʅ²¹	nei²¹	nɛi²¹	nɛ²¹	saŋ⁵⁵la²¹	ai²¹
437	833.2	young	年轻	niánqīng	tʰy²nu²/¹	tʰy²¹nə̤²¹		kʰu²¹tɕi²¹ja⁵⁵		nu⁵⁵		
438	833.0	young	年轻	niánqīng	le̠ᶫ	lɛ̠²¹	lɛʔ⁵³					
439	833.1	young	年轻	niánqīng	tʰy²ɲa¹				tʰy²¹ɲa⁴⁵³			tʰə²¹ɲo³³
440	833.1	young	年轻	niánqīng	tʰy²nu²/¹	tʰy²¹nə̤²¹		kʰu²¹tɕi²¹ja⁵⁵				
441	310.1	Autonym	(自称)	(zìchéng)	la²lo̠Hpa̠ᶫ	la̠²¹ʔlo̠³³pa̠²¹	la²¹lu³³pa⁵³	la⁴²lu³³pu⁴²	la²¹lu⁴⁴	lo²¹lo³³pɑ̠²¹	o²¹kʰa²⁴	la²¹lu⁴⁵³
442	310.0	Autonym	(自称)	(zìchéng)	la²lo̠Hpa̠ᶫ	la̠²¹ʔlo̠³³pa̠²¹	la²¹lu³³pa⁵³	la⁴²lu³³pu⁴²	la²¹lu³³		o²¹kʰa²⁴	la²¹lu⁴⁵³
443	86.0	cat	猫	māo	a¹ne¹	a̤²¹ni⁵⁵	a²¹ni⁴⁴		a²¹ɲi²⁴		kʰi³³nɛ²⁴	a²¹ni³³
444	86.1	cat	猫	māo	a¹mi¹			a²¹mi²⁴tsɿ⁵⁵		a²¹mia⁵⁵		
445	946.0	1PL (inclusive)	咱们	zánmén	a²va²	a̤²¹va²¹				ə²¹	o⁵⁵so³³	
446	266.0	heel	脚后跟	zhǒng			kʰɨ⁴⁴tɛʔ²¹	ɣə²¹bə³³ni⁵⁵	kʰɨ⁴⁵³ai³³tsɿ³³	kʰi⁵⁵bi²¹ni³³	bɨi⁵³ɕi²¹ti²¹	kɛ˞³³wv̩²¹hou²¹kən³³
447	284.0	heart	心	xīn	ʔni̠Hma³	ʔɲɛ̠³³ma³³	ni⁴⁴ma³³	ni³³mɔ³³	ĩ⁴⁵³mo³³	mo³³sɛ²¹	ni̠³³mo³³cɛ²¹	i⁵⁵ma³³
448	73.0	cow	牛	niú	a¹ni²	a⁵⁵ŋ̩²¹	an⁵¹	nɛ²¹	a³⁵ɲi²¹	a⁵⁵ni²¹	a²⁴ni²¹	a⁴⁵ni⁵¹
449	73.1	cow	牛	niú	a¹ni²	a⁵⁵ŋ̩²¹	an⁵¹	nɛ²¹	a³⁵ɲi²¹	a⁵⁵ni²¹	a²⁴ni²¹	a⁴⁵ni⁵¹
450	907.0	LITTLE	小	xiǎo	ɲa¹				ɲa⁴⁵³			ɲo³³
451	907.1	LITTLE	小	xiǎo	ʒaŋ¹	u⁵⁵	u⁴⁴	ja⁵⁵		ja⁵⁵	za²⁴	
452	121.0	fish	鱼	yú	ʔŋa²	a̤ŋ²¹	ãŋ²¹	ɔ²¹	õ²¹	õm²¹pa⁵⁵	oŋ²¹pʰv̩²⁴	aŋ²¹
453	927.0	five	五	wǔ	ŋa²	ŋa̤²¹	ŋa²¹	ŋɔ²¹	ŋo²¹	ŋo²¹	ŋo²¹	ŋa²¹
454	680.0	cry	哭	kū	ŋo¹	ŋə⁵⁵	ŋv̩²⁴	ŋə²⁴	mɤ̪˞²⁴	ŋɨ⁵⁵	ŋɨ²⁴	ŋo³³
455	383.0	tile (ceramic)	瓦片		ŋwɛ²pʰe²	vɛ̤²¹	vɛ²¹	ŋɛ²¹	ɛi²¹tsʰɿ²¹pɛ˞³³	bəm²⁴pʰɛ²¹	bəŋ²¹	
456	74.0	buffalo (water)	水牛	shuǐniú	ɣo¹ni²	v̩⁵⁵ŋ̩̩²¹	vɨn⁵¹		vv̩³⁵ɲi²¹		xɨ²⁴ni²¹	ve⁴⁵ni⁴²
457	74.1	buffalo (water)	水牛	shuǐniú	ɣo¹ni²	v̩⁵⁵ŋ̩̩²¹	vɨn⁵¹	ɣə²⁴nɛ²¹	vv̩³⁵ɲi²¹	ɣɨ⁵⁵ni²¹	xɨ²⁴ni²¹	ve⁴⁵ni⁴²
458	791.0	fart	放屁	pàngpì	bjo²tsʰɿ²bjo²	zɿ²¹tsʰɿ²¹zɿ²¹	zɿ²¹tsʰɿ²¹zɿ²¹	tɕʰi²¹bi²¹	zɿ²¹tsʰɿ²¹zɿ²¹	vi²¹tə²¹	bɨ²¹xɨ̠³³	zɿ²¹tsʰɿ²¹zɿ²¹
